Month,Passengers,Month_Number,Year,Lag1,Lag2,Lag3
1959-07-01,548,7,1959,472.0,420.0,396.0
1959-08-01,559,8,1959,548.0,472.0,420.0
1959-09-01,463,9,1959,559.0,548.0,472.0
1959-10-01,407,10,1959,463.0,559.0,548.0
1959-11-01,362,11,1959,407.0,463.0,559.0
1959-12-01,405,12,1959,362.0,407.0,463.0
1960-01-01,417,1,1960,405.0,362.0,407.0
1960-02-01,391,2,1960,417.0,405.0,362.0
1960-03-01,419,3,1960,391.0,417.0,405.0
1960-04-01,461,4,1960,419.0,391.0,417.0
1960-05-01,472,5,1960,461.0,419.0,391.0
1960-06-01,535,6,1960,472.0,461.0,419.0
1960-07-01,622,7,1960,535.0,472.0,461.0
1960-08-01,606,8,1960,622.0,535.0,472.0
1960-09-01,508,9,1960,606.0,622.0,535.0
1960-10-01,461,10,1960,508.0,606.0,622.0
1960-11-01,390,11,1960,461.0,508.0,606.0
1960-12-01,432,12,1960,390.0,461.0,508.0
